AQI,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Heat Index - °C
16,6,10,18,27,93,26,26,32
14,6,9,16,27,94,26,26,32
13,5,8,14,27,94,26,26,32
13,5,8,14,27,94,26,26,32
14,5,8,16,27,94,26,26,32
15,6,9,16,27,96,26,26,32
16,6,10,18,27,96,26,26,32
15,6,9,16,27,95,26,26,32
13,5,8,15,27,95,26,26,31
14,5,8,15,27,94,26,26,32
13,5,8,14,27,94,26,26,31
11,4,7,14,27,94,26,26,32
13,5,8,16,27,96,26,26,32
13,5,8,15,27,96,26,26,32
13,5,8,14,27,95,26,26,32
13,5,8,16,27,94,26,26,32
12,4,7,15,27,94,26,26,32
14,5,8,16,27,95,26,26,32
12,4,7,14,27,94,26,26,32
11,4,7,13,27,96,26,26,32
13,5,8,15,27,95,26,26,32
13,4,8,16,26,97,26,26,31
12,4,7,15,26,97,26,26,31
11,4,7,13,26,95,26,26,31
11,4,6,13,26,95,26,26,31
13,5,8,15,27,95,26,26,31
18,6,11,19,27,94,26,26,31
14,6,8,16,27,94,26,26,31
12,4,7,14,26,96,25,25,30
14,5,8,14,26,97,25,25,29
13,5,8,14,26,97,25,25,30
11,4,6,12,26,96,25,25,30
11,5,7,12,26,94,25,25,30
10,4,6,12,26,95,25,26,30
12,5,7,13,26,96,26,26,31
13,5,8,14,27,95,26,26,32
12,5,7,14,27,95,26,26,32
13,5,8,14,27,93,26,26,33
13,5,8,15,27,93,26,26,33
13,5,8,14,27,93,26,26,32
15,6,9,15,27,93,26,26,33
15,6,9,15,28,92,26,26,33
14,6,8,15,28,91,26,27,34
20,8,12,18,28,90,26,27,34
22,9,13,20,28,91,26,27,34
14,6,8,14,28,89,26,27,34
11,4,6,12,28,88,26,27,35
12,5,7,12,29,88,26,27,36
17,7,10,17,29,88,26,27,36
12,5,7,13,29,87,26,27,36
10,4,6,11,29,87,26,27,36
12,5,7,13,29,88,26,27,36
13,5,8,14,29,89,26,27,35
11,4,7,12,28,91,26,27,35
13,5,8,15,28,90,27,27,36
12,4,7,13,29,88,27,27,37
11,4,7,13,29,87,27,27,37
12,4,7,14,29,86,27,27,38
10,4,6,12,29,85,26,27,36
11,4,7,14,29,86,26,27,36
11,4,6,13,29,88,27,27,36
11,4,7,13,29,88,27,27,37
13,5,8,14,29,86,27,27,37
11,4,7,13,29,86,27,27,38
9,4,6,12,30,85,27,28,39
12,4,7,14,30,83,27,28,39
11,4,6,13,30,82,26,27,37
11,4,7,14,29,84,26,27,36
12,5,7,14,29,85,26,27,35
12,5,7,14,29,87,26,27,35
13,5,8,15,28,87,26,27,35
13,5,8,15,28,88,26,27,35
11,4,7,14,28,88,26,26,34
11,4,7,13,28,88,26,27,34
13,5,8,15,28,88,26,27,35
13,5,8,16,28,89,26,27,34
12,5,7,14,28,89,26,26,34
12,5,7,12,28,90,26,26,33
11,4,6,13,28,89,26,26,33
10,4,6,11,28,89,26,26,33
10,4,6,11,28,90,26,26,33
10,4,6,11,28,90,26,26,33
10,4,6,12,28,90,26,26,33
10,4,6,13,28,90,26,26,33
10,4,6,12,28,89,26,26,33
11,4,7,13,28,89,26,26,33
12,5,7,13,28,91,26,26,33
15,6,9,15,27,93,26,26,32
11,4,6,12,27,93,26,26,32
11,4,6,12,27,94,26,26,32
11,4,6,13,27,92,26,26,32
10,4,6,13,27,92,26,26,33
13,5,8,14,27,93,26,26,33
13,5,8,14,27,91,26,26,32
13,5,8,15,27,94,26,26,32
11,4,7,13,27,94,26,26,32
12,5,7,15,27,95,26,26,32
12,5,7,13,27,93,26,26,32
