Rajbhavan Airlink,,,,,,,,,
4/1/23 12:00 AM : 1 Month,,,,,,,,,
,Rajbhavan Airlink,Rajbhavan Airlink,Rajbhavan Airlink,Rajbhavan Airlink,Rajbhavan Airlink,Rajbhavan Airlink,Rajbhavan Airlink,Rajbhavan Airlink,Rajbhavan Airlink
,AirLink,AirLink,AirLink,AirLink,AirLink,AirLink,AirLink,AirLink,AirLink
,,,,,,,,,
Date & Time,AQI,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Heat Index - °C
4/1/2023 0:00,3,3,4,5,28,68,22,23,31
4/1/2023 0:15,3,3,4,6,28,68,22,23,31
4/1/2023 0:30,4,4,5,6,28,68,22,23,31
4/1/2023 0:45,4,3,4,6,28,68,22,23,31
4/1/2023 1:00,4,4,5,6,28,68,22,23,31
4/1/2023 1:15,4,4,5,6,28,68,22,23,31
4/1/2023 1:30,4,4,5,6,28,69,22,23,31
4/1/2023 1:45,5,5,6,8,28,69,22,24,31
4/1/2023 2:00,5,5,7,8,28,69,22,23,31
4/1/2023 2:15,5,5,7,8,28,69,22,24,31
4/1/2023 2:30,5,4,6,8,28,69,22,24,31
4/1/2023 2:45,5,4,6,7,28,70,22,24,31
4/1/2023 3:00,5,5,6,8,28,70,22,24,31
4/1/2023 3:15,5,5,7,8,28,70,22,24,31
4/1/2023 3:30,5,5,7,8,28,70,22,24,31
4/1/2023 3:45,5,5,7,9,28,70,22,23,31
4/1/2023 4:00,6,5,7,9,28,70,22,23,31
4/1/2023 4:15,6,6,8,10,28,69,22,23,31
4/1/2023 4:30,6,6,8,10,28,69,22,23,31
4/1/2023 4:45,7,6,8,10,28,68,22,23,31
4/1/2023 5:00,7,6,8,10,28,67,22,23,31
4/1/2023 5:15,6,6,8,9,28,67,22,23,31
4/1/2023 5:30,7,6,8,10,28,67,21,23,31
4/1/2023 5:45,9,8,12,13,28,69,22,23,31
4/1/2023 6:00,11,10,14,15,28,69,22,23,31
4/1/2023 6:15,13,12,17,19,28,69,22,23,31
4/1/2023 6:30,21,18,26,29,28,69,22,23,31
4/1/2023 6:45,22,19,28,31,28,69,22,23,31
4/1/2023 7:00,24,21,30,34,28,69,22,23,31
4/1/2023 7:15,25,21,31,34,28,69,22,23,31
4/1/2023 7:30,21,19,27,29,28,68,21,23,30
4/1/2023 7:45,23,20,29,32,28,69,22,23,31
4/1/2023 8:00,25,21,32,36,28,80,24,25,32
4/1/2023 8:15,26,22,33,38,28,81,24,25,32
4/1/2023 8:30,26,22,32,37,28,80,24,25,32
4/1/2023 8:45,21,18,26,28,28,77,24,24,32
4/1/2023 9:00,12,11,15,17,28,73,23,24,31
4/1/2023 9:15,10,9,12,13,28,69,22,23,31
4/1/2023 9:30,8,7,10,11,28,68,22,23,31
4/1/2023 9:45,8,7,10,11,28,67,22,23,31
4/1/2023 10:00,10,9,12,14,28,65,21,23,31
4/1/2023 10:15,8,7,10,11,29,65,21,23,31
4/1/2023 10:30,7,7,9,10,29,64,21,23,31
4/1/2023 10:45,9,8,11,13,29,64,21,23,31
4/1/2023 11:00,10,9,12,14,29,64,21,23,32
4/1/2023 11:15,9,9,11,12,29,64,21,23,32
4/1/2023 11:30,8,8,10,11,29,64,21,23,32
4/1/2023 11:45,8,8,10,11,29,64,22,23,32
4/1/2023 12:00,9,9,12,13,29,64,22,23,32
4/1/2023 12:15,9,9,11,12,29,62,21,23,32
4/1/2023 12:30,9,8,11,12,29,63,21,23,32
4/1/2023 12:45,8,8,10,11,29,62,21,23,32
4/1/2023 13:00,8,8,10,11,29,62,21,23,32
4/1/2023 13:15,8,8,10,12,29,64,22,23,32
4/1/2023 13:30,8,8,10,12,29,64,22,23,32
4/1/2023 13:45,8,7,10,11,29,64,22,23,32
4/1/2023 14:00,6,6,8,9,29,64,22,23,32
4/1/2023 14:15,6,6,8,9,29,64,22,23,32
