Date & Time,AQI,High AQI,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Heat Index - °C
7/31/23 12:00 AM,16,32,6,10,18,27,93,26,26,32
7/31/23 12:15 AM,14,28,6,9,16,27,94,26,26,32
7/31/23 12:30 AM,13,30,5,8,14,27,94,26,26,32
7/31/23 12:45 AM,13,32,5,8,14,27,94,26,26,32
7/31/23 1:00 AM,14,28,5,8,16,27,94,26,26,32
7/31/23 1:15 AM,15,33,6,9,16,27,96,26,26,32
7/31/23 1:30 AM,16,30,6,10,18,27,96,26,26,32
7/31/23 1:45 AM,15,30,6,9,16,27,95,26,26,32
7/31/23 2:00 AM,13,30,5,8,15,27,95,26,26,31
7/31/23 2:15 AM,14,30,5,8,15,27,94,26,26,32
7/31/23 2:30 AM,13,27,5,8,14,27,94,26,26,31
7/31/23 2:45 AM,11,32,4,7,14,27,94,26,26,32
7/31/23 3:00 AM,13,30,5,8,16,27,96,26,26,32
7/31/23 3:15 AM,13,25,5,8,15,27,96,26,26,32
7/31/23 3:30 AM,13,25,5,8,14,27,95,26,26,32
7/31/23 3:45 AM,13,27,5,8,16,27,94,26,26,32
7/31/23 4:00 AM,12,28,4,7,15,27,94,26,26,32
7/31/23 4:15 AM,14,35,5,8,16,27,95,26,26,32
7/31/23 4:30 AM,12,28,4,7,14,27,94,26,26,32
7/31/23 4:45 AM,11,25,4,7,13,27,96,26,26,32
7/31/23 5:00 AM,13,30,5,8,15,27,95,26,26,32
7/31/23 5:15 AM,13,33,4,8,16,26,97,26,26,31
7/31/23 5:30 AM,12,30,4,7,15,26,97,26,26,31
7/31/23 5:45 AM,11,25,4,7,13,26,95,26,26,31
7/31/23 6:00 AM,11,23,4,6,13,26,95,26,26,31
7/31/23 6:15 AM,13,30,5,8,15,27,95,26,26,31
7/31/23 6:30 AM,18,40,6,11,19,27,94,26,26,31
7/31/23 6:45 AM,14,25,6,8,16,27,94,26,26,31
7/31/23 7:00 AM,12,33,4,7,14,26,96,25,25,30
7/31/23 7:15 AM,14,30,5,8,14,26,97,25,25,29
7/31/23 7:30 AM,13,28,5,8,14,26,97,25,25,30
7/31/23 7:45 AM,11,22,4,6,12,26,96,25,25,30
7/31/23 8:00 AM,11,22,5,7,12,26,94,25,25,30
7/31/23 8:15 AM,10,27,4,6,12,26,95,25,26,30
7/31/23 8:30 AM,12,23,5,7,13,26,96,26,26,31
7/31/23 8:45 AM,13,30,5,8,14,27,95,26,26,32
7/31/23 9:00 AM,12,28,5,7,14,27,95,26,26,32
7/31/23 9:15 AM,13,32,5,8,14,27,93,26,26,33
7/31/23 9:30 AM,13,32,5,8,15,27,93,26,26,33
7/31/23 9:45 AM,13,32,5,8,14,27,93,26,26,32
