Date & Time,Inside Temp - °C,Inside Hum - %,Inside Dew Point - °C,Inside Heat Index - °C,Barometer - in Hg,Absolute Pressure - in Hg,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Avg Wind Speed - km/h,Wind Chill - °C,Heat Index - °C,THW Index - °C,Wind Run - km,THSW Index - °C,,,,,,,,,,,,,,,,,,,,,,,,,,Solar Rad - W/m^2,,,UV Index
7/31/23 12:00 AM,30,78,26,36,29.69,29.67,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:05 AM,30,78,26,37,29.68,29.67,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:10 AM,30,78,26,37,29.69,29.67,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:15 AM,30,78,26,36,29.68,29.67,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:20 AM,30,78,26,37,29.68,29.67,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:25 AM,30,78,26,37,29.68,29.67,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:30 AM,30,78,26,37,29.68,29.66,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:35 AM,30,78,25,36,29.67,29.66,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:40 AM,30,78,25,36,29.67,29.66,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:45 AM,30,79,26,36,29.67,29.66,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:50 AM,30,79,25,36,29.67,29.65,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 12:55 AM,29,79,25,36,29.66,29.65,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:00 AM,30,79,26,36,29.66,29.65,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:05 AM,30,79,26,36,29.66,29.65,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:10 AM,30,79,26,37,29.65,29.64,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:15 AM,30,78,26,36,29.65,29.64,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:20 AM,30,79,26,36,29.65,29.64,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:25 AM,30,79,26,36,29.65,29.63,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:30 AM,30,79,26,36,29.65,29.63,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:35 AM,29,79,26,36,29.65,29.63,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:40 AM,30,79,26,36,29.65,29.63,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:45 AM,30,79,26,36,29.65,29.63,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:50 AM,30,79,26,36,29.64,29.63,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 1:55 AM,29,79,26,36,29.64,29.62,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 2:00 AM,29,79,26,36,29.64,29.62,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 2:05 AM,30,79,26,36,29.64,29.62,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 2:10 AM,30,79,26,36,29.64,29.62,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
7/31/23 2:15 AM,30,79,26,36,29.63,29.62,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,--
