Date & Time,AQI,High AQI,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Heat Index - °C
6/30/23 12:00 AM,13,30,5,8,13,26,94,24,25,29
6/30/23 12:15 AM,11,27,5,7,11,26,95,25,25,29
6/30/23 12:30 AM,11,25,4,6,12,26,94,25,25,29
6/30/23 12:45 AM,11,25,4,6,11,26,94,25,25,30
6/30/23 1:00 AM,9,22,4,6,10,26,93,25,25,30
6/30/23 1:15 AM,11,27,4,6,11,26,94,25,26,31
6/30/23 1:30 AM,13,30,5,8,13,26,93,25,26,31
6/30/23 1:45 AM,12,25,5,7,12,26,94,25,26,31
6/30/23 2:00 AM,18,33,8,11,17,26,92,25,26,31
6/30/23 2:15 AM,20,33,8,12,19,27,92,25,26,31
6/30/23 2:30 AM,20,35,9,12,18,27,90,25,25,31
6/30/23 2:45 AM,19,33,8,11,16,27,93,26,26,32
6/30/23 3:00 AM,20,33,9,12,18,27,91,25,26,31
6/30/23 3:15 AM,18,35,8,11,16,27,90,25,25,31
6/30/23 3:30 AM,18,35,8,11,16,27,90,25,26,31
6/30/23 3:45 AM,18,33,8,11,16,27,90,25,26,31
6/30/23 4:00 AM,14,25,6,8,14,27,92,26,26,32
6/30/23 4:15 AM,14,32,6,9,14,27,91,25,26,32
6/30/23 4:30 AM,17,33,7,10,17,27,91,25,26,31
6/30/23 4:45 AM,20,42,8,12,18,27,92,25,26,31
6/30/23 5:00 AM,19,38,8,11,17,27,92,26,26,32
6/30/23 5:15 AM,20,35,8,12,18,27,91,26,26,32
6/30/23 5:30 AM,19,32,8,12,18,27,91,25,26,32
6/30/23 5:45 AM,20,40,8,12,18,27,91,26,26,32
6/30/23 6:00 AM,20,37,8,12,18,27,91,26,26,32
6/30/23 6:15 AM,21,38,8,12,19,27,90,26,26,32
6/30/23 6:30 AM,19,33,8,12,19,27,90,26,26,32
6/30/23 6:45 AM,19,38,8,12,18,27,90,26,26,32
6/30/23 7:00 AM,22,40,9,13,23,27,93,26,26,32
6/30/23 7:15 AM,20,37,8,12,20,27,92,25,25,30
6/30/23 7:30 AM,18,38,6,11,21,25,99,24,25,27
6/30/23 7:45 AM,16,33,6,10,19,25,100,25,25,27
6/30/23 8:00 AM,18,32,6,11,19,25,99,25,25,28
6/30/23 8:15 AM,16,32,6,9,16,25,99,24,24,27
6/30/23 8:30 AM,15,30,6,9,15,25,99,24,24,27
6/30/23 8:45 AM,21,48,8,12,21,25,100,25,25,27
6/30/23 9:00 AM,25,50,9,15,26,25,100,25,25,28
6/30/23 9:15 AM,25,50,8,15,28,24,100,24,24,27
6/30/23 9:30 AM,13,28,4,8,17,24,100,25,25,27
6/30/23 9:45 AM,12,32,4,7,14,25,100,24,24,27
6/30/23 10:00 AM,13,30,5,8,15,25,100,25,25,28
