Date & Time,Inside Temp - °C,Inside Hum - %,Inside Dew Point - °C,Inside Heat Index - °C,Barometer - in Hg,Absolute Pressure - in Hg,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Avg Wind Speed - km/h,Wind Chill - °C,Heat Index - °C,THW Index - °C,Wind Run - km,THSW Index - °C,Solar Rad - W/m^2,UV Index
6/30/23 12:00 AM,31,71,25,37,29.67,29.66,26,87,24,24,17,26,29,29,1.4,28,0,0
6/30/23 12:05 AM,31,70,25,36,29.67,29.65,26,86,24,24,16,25,29,29,1.3,28,0,0
6/30/23 12:10 AM,31,71,25,36,29.67,29.66,26,86,24,24,9,26,29,29,0.7,28,0,0
6/30/23 12:15 AM,31,71,25,37,29.67,29.66,26,87,24,25,13,26,30,30,1.1,29,0,0
6/30/23 12:20 AM,31,70,25,36,29.67,29.65,26,87,24,25,11,26,30,29,0.9,29,0,0
6/30/23 12:25 AM,31,70,24,36,29.67,29.65,27,87,24,25,9,26,30,30,0.8,29,0,0
6/30/23 12:30 AM,31,70,24,36,29.66,29.65,27,87,24,25,8,27,30,30,0.7,29,0,0
6/30/23 12:35 AM,31,70,24,36,29.66,29.64,27,87,24,25,10,27,30,30,0.8,30,0,0
6/30/23 12:40 AM,31,70,24,36,29.66,29.64,27,87,24,25,9,27,31,31,0.7,30,0,0
6/30/23 12:45 AM,30,71,24,36,29.65,29.64,27,87,24,25,9,27,31,31,0.8,30,0,0
6/30/23 12:50 AM,30,71,25,36,29.65,29.64,27,88,25,25,9,27,31,31,0.8,30,0,0
6/30/23 12:55 AM,30,71,25,36,29.65,29.63,27,87,25,25,14,27,31,31,1.2,30,0,0
6/30/23 1:00 AM,30,71,25,36,29.65,29.64,27,86,24,25,14,26,31,30,1.1,30,0,0
6/30/23 1:05 AM,31,71,25,37,29.64,29.63,27,86,24,25,12,26,31,30,1,30,0,0
6/30/23 1:10 AM,31,71,25,37,29.65,29.63,27,86,25,25,9,27,31,31,0.7,30,0,0
6/30/23 1:15 AM,30,71,25,36,29.64,29.63,27,87,25,25,8,27,31,31,0.7,31,0,0
6/30/23 1:20 AM,31,71,25,36,29.64,29.63,27,86,24,25,10,27,31,31,0.8,30,0,0
6/30/23 1:25 AM,31,71,25,37,29.64,29.62,27,86,25,25,8,27,31,31,0.7,31,0,0
6/30/23 1:30 AM,31,71,25,36,29.64,29.62,27,86,25,25,10,27,31,31,0.8,31,0,0
6/30/23 1:35 AM,30,71,25,36,29.64,29.62,27,86,25,25,9,27,31,31,0.7,31,0,0
6/30/23 1:40 AM,31,71,25,37,29.64,29.62,27,86,25,25,13,27,31,31,1.1,31,0,0
6/30/23 1:45 AM,31,71,25,37,29.63,29.62,27,86,25,25,9,27,31,31,0.7,31,0,0
6/30/23 1:50 AM,30,71,25,36,29.63,29.62,27,86,25,25,9,27,31,31,0.8,31,0,0
6/30/23 1:55 AM,30,71,25,36,29.63,29.62,27,86,25,25,11,27,31,31,0.9,31,0,0
6/30/23 2:00 AM,30,71,25,36,29.63,29.61,27,86,25,25,12,27,31,31,1,31,0,0
6/30/23 2:05 AM,30,71,25,36,29.62,29.61,27,85,25,25,11,27,31,31,0.9,31,0,0
6/30/23 2:10 AM,31,71,25,37,29.62,29.61,27,85,25,25,12,27,32,32,1,31,0,0
6/30/23 2:15 AM,30,71,25,36,29.62,29.61,27,85,25,25,10,27,32,32,0.9,31,0,0
6/30/23 2:20 AM,31,71,25,37,29.62,29.61,27,85,25,25,12,27,31,31,1,31,0,0
6/30/23 2:25 AM,31,71,25,37,29.62,29.61,27,85,25,25,12,27,32,32,1,31,0,0
6/30/23 2:30 AM,30,71,25,36,29.62,29.6,28,84,25,25,12,27,32,31,1,31,0,0
6/30/23 2:35 AM,31,71,25,37,29.62,29.6,28,84,25,25,9,28,32,32,0.8,31,0,0
6/30/23 2:40 AM,31,70,25,37,29.61,29.6,28,84,25,25,9,28,32,32,0.8,31,0,0
6/30/23 2:45 AM,31,70,25,37,29.61,29.6,28,85,25,26,8,28,32,32,0.6,32,0,0
6/30/23 2:50 AM,31,70,25,37,29.61,29.6,27,86,25,26,11,27,32,32,0.9,31,0,0
6/30/23 2:55 AM,31,71,25,37,29.61,29.6,27,86,25,25,12,27,31,31,1,31,0,0
6/30/23 3:00 AM,31,71,25,37,29.61,29.6,27,86,25,25,11,27,31,31,0.9,31,0,0
6/30/23 3:05 AM,31,71,25,37,29.61,29.6,27,86,25,25,11,27,32,32,0.9,31,0,0
6/30/23 3:10 AM,30,71,25,36,29.61,29.6,27,85,25,25,11,27,32,32,0.9,31,0,0
6/30/23 3:15 AM,31,71,25,37,29.61,29.6,27,84,24,25,10,27,31,31,0.8,31,0,0
6/30/23 3:20 AM,31,71,25,37,29.61,29.6,27,84,24,25,8,27,31,31,0.7,31,0,0
6/30/23 3:25 AM,31,71,25,36,29.61,29.6,28,84,25,25,9,28,32,32,0.7,31,0,0
