AQI,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Heat Index - °C,Date & Time
16,6,10,18,27,93,26,26,32,7/31/2023 0:00
14,6,9,16,27,94,26,26,32,7/31/2023 0:15
13,5,8,14,27,94,26,26,32,7/31/2023 0:30
13,5,8,14,27,94,26,26,32,7/31/2023 0:45
14,5,8,16,27,94,26,26,32,7/31/2023 1:00
15,6,9,16,27,96,26,26,32,7/31/2023 1:15
16,6,10,18,27,96,26,26,32,7/31/2023 1:30
15,6,9,16,27,95,26,26,32,7/31/2023 1:45
13,5,8,15,27,95,26,26,31,7/31/2023 2:00
14,5,8,15,27,94,26,26,32,7/31/2023 2:15
13,5,8,14,27,94,26,26,31,7/31/2023 2:30
11,4,7,14,27,94,26,26,32,7/31/2023 2:45
13,5,8,16,27,96,26,26,32,7/31/2023 3:00
13,5,8,15,27,96,26,26,32,7/31/2023 3:15
13,5,8,14,27,95,26,26,32,7/31/2023 3:30
13,5,8,16,27,94,26,26,32,7/31/2023 3:45
12,4,7,15,27,94,26,26,32,7/31/2023 4:00
14,5,8,16,27,95,26,26,32,7/31/2023 4:15
12,4,7,14,27,94,26,26,32,7/31/2023 4:30
11,4,7,13,27,96,26,26,32,7/31/2023 4:45
13,5,8,15,27,95,26,26,32,7/31/2023 5:00
13,4,8,16,26,97,26,26,31,7/31/2023 5:15
12,4,7,15,26,97,26,26,31,7/31/2023 5:30
11,4,7,13,26,95,26,26,31,7/31/2023 5:45
11,4,6,13,26,95,26,26,31,7/31/2023 6:00
13,5,8,15,27,95,26,26,31,7/31/2023 6:15
18,6,11,19,27,94,26,26,31,7/31/2023 6:30
14,6,8,16,27,94,26,26,31,7/31/2023 6:45
12,4,7,14,26,96,25,25,30,7/31/2023 7:00
14,5,8,14,26,97,25,25,29,7/31/2023 7:15
13,5,8,14,26,97,25,25,30,7/31/2023 7:30
11,4,6,12,26,96,25,25,30,7/31/2023 7:45
11,5,7,12,26,94,25,25,30,7/31/2023 8:00
10,4,6,12,26,95,25,26,30,7/31/2023 8:15
12,5,7,13,26,96,26,26,31,7/31/2023 8:30
13,5,8,14,27,95,26,26,32,7/31/2023 8:45
12,5,7,14,27,95,26,26,32,7/31/2023 9:00
13,5,8,14,27,93,26,26,33,7/31/2023 9:15
13,5,8,15,27,93,26,26,33,7/31/2023 9:30
13,5,8,14,27,93,26,26,32,7/31/2023 9:45
15,6,9,15,27,93,26,26,33,7/31/2023 10:00
15,6,9,15,28,92,26,26,33,7/31/2023 10:15
14,6,8,15,28,91,26,27,34,7/31/2023 10:30
20,8,12,18,28,90,26,27,34,7/31/2023 10:45
22,9,13,20,28,91,26,27,34,7/31/2023 11:00
14,6,8,14,28,89,26,27,34,7/31/2023 11:15
11,4,6,12,28,88,26,27,35,7/31/2023 11:30
12,5,7,12,29,88,26,27,36,7/31/2023 11:45
17,7,10,17,29,88,26,27,36,7/31/2023 12:00
12,5,7,13,29,87,26,27,36,7/31/2023 12:15
10,4,6,11,29,87,26,27,36,7/31/2023 12:30
12,5,7,13,29,88,26,27,36,7/31/2023 12:45
13,5,8,14,29,89,26,27,35,7/31/2023 13:00
11,4,7,12,28,91,26,27,35,7/31/2023 13:15
13,5,8,15,28,90,27,27,36,7/31/2023 13:30
12,4,7,13,29,88,27,27,37,7/31/2023 13:45
11,4,7,13,29,87,27,27,37,7/31/2023 14:00
12,4,7,14,29,86,27,27,38,7/31/2023 14:15
10,4,6,12,29,85,26,27,36,7/31/2023 14:30
11,4,7,14,29,86,26,27,36,7/31/2023 14:45
11,4,6,13,29,88,27,27,36,7/31/2023 15:00
11,4,7,13,29,88,27,27,37,7/31/2023 15:15
13,5,8,14,29,86,27,27,37,7/31/2023 15:30
11,4,7,13,29,86,27,27,38,7/31/2023 15:45
9,4,6,12,30,85,27,28,39,7/31/2023 16:00
12,4,7,14,30,83,27,28,39,7/31/2023 16:15
11,4,6,13,30,82,26,27,37,7/31/2023 16:30
11,4,7,14,29,84,26,27,36,7/31/2023 16:45
12,5,7,14,29,85,26,27,35,7/31/2023 17:00
12,5,7,14,29,87,26,27,35,7/31/2023 17:15
13,5,8,15,28,87,26,27,35,7/31/2023 17:30
13,5,8,15,28,88,26,27,35,7/31/2023 17:45
11,4,7,14,28,88,26,26,34,7/31/2023 18:00
11,4,7,13,28,88,26,27,34,7/31/2023 18:15
13,5,8,15,28,88,26,27,35,7/31/2023 18:30
13,5,8,16,28,89,26,27,34,7/31/2023 18:45
12,5,7,14,28,89,26,26,34,7/31/2023 19:00
12,5,7,12,28,90,26,26,33,7/31/2023 19:15
11,4,6,13,28,89,26,26,33,7/31/2023 19:30
10,4,6,11,28,89,26,26,33,7/31/2023 19:45
10,4,6,11,28,90,26,26,33,7/31/2023 20:00
10,4,6,11,28,90,26,26,33,7/31/2023 20:15
10,4,6,12,28,90,26,26,33,7/31/2023 20:30
10,4,6,13,28,90,26,26,33,7/31/2023 20:45
10,4,6,12,28,89,26,26,33,7/31/2023 21:00
11,4,7,13,28,89,26,26,33,7/31/2023 21:15
12,5,7,13,28,91,26,26,33,7/31/2023 21:30
15,6,9,15,27,93,26,26,32,7/31/2023 21:45
11,4,6,12,27,93,26,26,32,7/31/2023 22:00
11,4,6,12,27,94,26,26,32,7/31/2023 22:15
11,4,6,13,27,92,26,26,32,7/31/2023 22:30
10,4,6,13,27,92,26,26,33,7/31/2023 22:45
